conversation_id,turn_id,speaker_role,text,label,stage,text_clean
5,11,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
6,0,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
6,1,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
6,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming,gg! want to play again tomorrow?
6,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
6,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
6,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation,"let’s talk somewhere more private, not in this chat."
7,0,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
7,1,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
7,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming,"you’re really good at this, how long have you been playing?"
7,3,adult,"don’t worry, I always have your back.",grooming,trust_building,"don’t worry, i always have your back."
7,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
7,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
7,6,child,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
7,7,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
7,8,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
8,0,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
8,1,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
8,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
8,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building,"you can tell me anything, i’m not like other people."
8,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
8,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation,"i feel really close to you, do you feel the same way about me?"
8,6,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
8,7,child,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
8,8,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
8,9,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
8,10,child,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
8,11,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
9,0,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
9,1,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
9,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming,gg! want to play again tomorrow?
9,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building,"you can tell me anything, i’m not like other people."
9,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation,"don’t tell your parents about our chats, they wouldn’t understand."
9,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
10,0,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
10,1,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
10,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming,gg! want to play again tomorrow?
10,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
10,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation,"don’t tell your parents about our chats, they wouldn’t understand."
10,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation,"i feel really close to you, do you feel the same way about me?"
11,0,child,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
11,1,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
11,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming,gg! want to play again tomorrow?
11,3,adult,"don’t worry, I always have your back.",grooming,trust_building,"don’t worry, i always have your back."
11,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation,"don’t tell your parents about our chats, they wouldn’t understand."
11,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation,"let’s talk somewhere more private, not in this chat."
11,6,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
11,7,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
11,8,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
11,9,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
11,10,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
12,0,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
12,1,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
12,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming,gg! want to play again tomorrow?
12,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building,"you can tell me anything, i’m not like other people."
12,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation,"don’t tell your parents about our chats, they wouldn’t understand."
12,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
12,6,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
12,7,child,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
12,8,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
12,9,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
12,10,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
13,0,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
13,1,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
13,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming,"you’re really good at this, how long have you been playing?"
13,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
13,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
13,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation,"let’s talk somewhere more private, not in this chat."
13,6,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
13,7,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
13,8,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
13,9,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
13,10,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
14,0,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
14,1,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
14,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming,"you’re really good at this, how long have you been playing?"
14,3,adult,"don’t worry, I always have your back.",grooming,trust_building,"don’t worry, i always have your back."
14,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation,"don’t tell your parents about our chats, they wouldn’t understand."
14,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation,"i feel really close to you, do you feel the same way about me?"
14,6,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
14,7,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
14,8,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
14,9,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
14,10,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
14,11,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
15,0,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
15,1,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
15,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
15,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
15,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
15,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation,"i feel really close to you, do you feel the same way about me?"
15,6,child,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
15,7,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
15,8,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
16,0,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
16,1,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
16,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming,gg! want to play again tomorrow?
16,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building,"you can tell me anything, i’m not like other people."
16,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation,"don’t tell your parents about our chats, they wouldn’t understand."
16,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation,"let’s talk somewhere more private, not in this chat."
16,6,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
16,7,child,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
16,8,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
16,9,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
16,10,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
17,0,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
17,1,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
17,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
17,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building,"you can tell me anything, i’m not like other people."
17,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
17,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
18,0,child,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
18,1,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
18,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
18,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building,"you can tell me anything, i’m not like other people."
18,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
18,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation,"let’s talk somewhere more private, not in this chat."
18,6,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
18,7,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
18,8,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
18,9,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
18,10,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
19,0,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
19,1,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
19,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
19,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
19,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation,"don’t tell your parents about our chats, they wouldn’t understand."
19,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
19,6,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
19,7,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
19,8,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
19,9,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
19,10,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
20,0,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
20,1,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
20,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming,gg! want to play again tomorrow?
20,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building,"you can tell me anything, i’m not like other people."
20,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation,"you shouldn’t listen to your friends, they’re just jealous."
20,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
20,6,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
20,7,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
20,8,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
20,9,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
20,10,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
20,11,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
21,0,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
21,1,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
21,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
21,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
21,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
21,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation,"i feel really close to you, do you feel the same way about me?"
21,6,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
21,7,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
21,8,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
22,0,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
22,1,child,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
22,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
22,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building,"you can tell me anything, i’m not like other people."
22,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation,"don’t tell your parents about our chats, they wouldn’t understand."
22,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
22,6,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
22,7,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
22,8,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
22,9,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
23,0,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
23,1,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
23,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
23,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
23,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation,"don’t tell your parents about our chats, they wouldn’t understand."
23,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
23,6,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
23,7,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
23,8,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
23,9,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
23,10,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
24,0,child,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
24,1,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
24,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming,gg! want to play again tomorrow?
24,3,adult,"don’t worry, I always have your back.",grooming,trust_building,"don’t worry, i always have your back."
24,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
24,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation,"i feel really close to you, do you feel the same way about me?"
24,6,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
24,7,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
24,8,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
24,9,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
24,10,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
25,0,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
25,1,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
25,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming,gg! want to play again tomorrow?
25,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building,"you can tell me anything, i’m not like other people."
25,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
25,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation,"let’s talk somewhere more private, not in this chat."
25,6,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
25,7,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
25,8,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
25,9,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
26,0,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
26,1,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
26,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming,"you’re really good at this, how long have you been playing?"
26,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
26,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
26,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
26,6,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
26,7,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
27,0,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
27,1,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
27,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
27,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building,"you can tell me anything, i’m not like other people."
27,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
27,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
27,6,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
27,7,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
27,8,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
28,0,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
28,1,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
28,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming,"you’re really good at this, how long have you been playing?"
28,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
28,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
28,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation,"let’s talk somewhere more private, not in this chat."
28,6,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
28,7,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
28,8,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
28,9,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
29,0,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
29,1,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
29,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
29,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
29,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation,"you shouldn’t listen to your friends, they’re just jealous."
29,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
29,6,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
29,7,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
29,8,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
30,0,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
30,1,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
30,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
30,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
30,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation,"we should keep this just between us, it’s our secret."
30,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation,"i feel really close to you, do you feel the same way about me?"
30,6,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
30,7,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
30,8,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
30,9,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
30,10,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
31,0,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
31,1,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
31,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
31,3,adult,"don’t worry, I always have your back.",grooming,trust_building,"don’t worry, i always have your back."
31,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation,"you shouldn’t listen to your friends, they’re just jealous."
31,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
31,6,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
