conversation_id,turn_id,speaker_role,text,label,stage
5,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
5,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
5,6,adult,nice shot! that was crazy.,non_grooming,none
5,7,adult,"brb, need to finish homework.",non_grooming,none
5,8,adult,anyone wanna join my team?,non_grooming,none
5,9,adult,nice shot! that was crazy.,non_grooming,none
6,0,child,"brb, need to finish homework.",non_grooming,none
6,1,adult,"gotta go, see you tomorrow.",non_grooming,none
6,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
6,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
6,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
6,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
6,6,child,nice shot! that was crazy.,non_grooming,none
7,0,adult,"brb, need to finish homework.",non_grooming,none
7,1,adult,nice shot! that was crazy.,non_grooming,none
7,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
7,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
7,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
7,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
7,6,adult,"gotta go, see you tomorrow.",non_grooming,none
7,7,child,anyone wanna join my team?,non_grooming,none
7,8,adult,anyone wanna join my team?,non_grooming,none
7,9,adult,nice shot! that was crazy.,non_grooming,none
7,10,child,"brb, need to finish homework.",non_grooming,none
8,0,child,my internet is lagging again omg.,non_grooming,none
8,1,child,nice shot! that was crazy.,non_grooming,none
8,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
8,3,adult,"don’t worry, I always have your back.",grooming,trust_building
8,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
8,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
9,0,child,nice shot! that was crazy.,non_grooming,none
9,1,adult,"brb, need to finish homework.",non_grooming,none
9,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
9,3,adult,"don’t worry, I always have your back.",grooming,trust_building
9,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
9,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
9,6,adult,"gotta go, see you tomorrow.",non_grooming,none
10,0,adult,nice shot! that was crazy.,non_grooming,none
10,1,adult,"brb, need to finish homework.",non_grooming,none
10,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
10,3,adult,"don’t worry, I always have your back.",grooming,trust_building
10,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
10,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
10,6,adult,my internet is lagging again omg.,non_grooming,none
11,0,adult,my internet is lagging again omg.,non_grooming,none
11,1,child,my internet is lagging again omg.,non_grooming,none
11,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
11,3,adult,"don’t worry, I always have your back.",grooming,trust_building
11,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
11,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
11,6,child,"gotta go, see you tomorrow.",non_grooming,none
11,7,child,my internet is lagging again omg.,non_grooming,none
11,8,adult,"gotta go, see you tomorrow.",non_grooming,none
11,9,adult,my internet is lagging again omg.,non_grooming,none
12,0,child,"brb, need to finish homework.",non_grooming,none
12,1,child,nice shot! that was crazy.,non_grooming,none
12,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
12,3,adult,"don’t worry, I always have your back.",grooming,trust_building
12,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
12,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
12,6,adult,"brb, need to finish homework.",non_grooming,none
12,7,adult,"gotta go, see you tomorrow.",non_grooming,none
13,0,adult,"gotta go, see you tomorrow.",non_grooming,none
13,1,child,nice shot! that was crazy.,non_grooming,none
13,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
13,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
13,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
13,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
14,0,adult,anyone wanna join my team?,non_grooming,none
14,1,child,anyone wanna join my team?,non_grooming,none
14,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
14,3,adult,"don’t worry, I always have your back.",grooming,trust_building
14,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
14,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
14,6,child,my internet is lagging again omg.,non_grooming,none
14,7,adult,my internet is lagging again omg.,non_grooming,none
14,8,child,anyone wanna join my team?,non_grooming,none
15,0,adult,"brb, need to finish homework.",non_grooming,none
15,1,adult,"gotta go, see you tomorrow.",non_grooming,none
15,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
15,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
15,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
15,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
16,0,adult,nice shot! that was crazy.,non_grooming,none
16,1,child,"gotta go, see you tomorrow.",non_grooming,none
16,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
16,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
16,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
16,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
16,6,adult,nice shot! that was crazy.,non_grooming,none
16,7,adult,"gotta go, see you tomorrow.",non_grooming,none
17,0,adult,"gotta go, see you tomorrow.",non_grooming,none
17,1,adult,nice shot! that was crazy.,non_grooming,none
17,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
17,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
17,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
17,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
17,6,adult,nice shot! that was crazy.,non_grooming,none
17,7,adult,my internet is lagging again omg.,non_grooming,none
17,8,adult,"gotta go, see you tomorrow.",non_grooming,none
17,9,adult,anyone wanna join my team?,non_grooming,none
18,0,child,nice shot! that was crazy.,non_grooming,none
18,1,child,"brb, need to finish homework.",non_grooming,none
18,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
18,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
18,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
18,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
18,6,child,"brb, need to finish homework.",non_grooming,none
18,7,child,anyone wanna join my team?,non_grooming,none
18,8,adult,my internet is lagging again omg.,non_grooming,none
18,9,child,my internet is lagging again omg.,non_grooming,none
18,10,child,"gotta go, see you tomorrow.",non_grooming,none
18,11,adult,nice shot! that was crazy.,non_grooming,none
19,0,adult,nice shot! that was crazy.,non_grooming,none
19,1,child,"brb, need to finish homework.",non_grooming,none
19,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
19,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
19,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
19,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
19,6,adult,"brb, need to finish homework.",non_grooming,none
19,7,adult,nice shot! that was crazy.,non_grooming,none
19,8,child,"brb, need to finish homework.",non_grooming,none
20,0,child,nice shot! that was crazy.,non_grooming,none
20,1,adult,"gotta go, see you tomorrow.",non_grooming,none
20,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
20,3,adult,"don’t worry, I always have your back.",grooming,trust_building
20,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
20,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
21,0,child,"gotta go, see you tomorrow.",non_grooming,none
21,1,adult,anyone wanna join my team?,non_grooming,none
21,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
21,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
21,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
21,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
21,6,adult,"gotta go, see you tomorrow.",non_grooming,none
21,7,adult,anyone wanna join my team?,non_grooming,none
21,8,adult,nice shot! that was crazy.,non_grooming,none
22,0,adult,my internet is lagging again omg.,non_grooming,none
22,1,adult,my internet is lagging again omg.,non_grooming,none
22,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
22,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
22,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
22,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
22,6,adult,my internet is lagging again omg.,non_grooming,none
22,7,child,my internet is lagging again omg.,non_grooming,none
22,8,adult,my internet is lagging again omg.,non_grooming,none
22,9,child,my internet is lagging again omg.,non_grooming,none
22,10,adult,anyone wanna join my team?,non_grooming,none
23,0,adult,"brb, need to finish homework.",non_grooming,none
23,1,child,"gotta go, see you tomorrow.",non_grooming,none
23,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
23,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
23,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
23,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
23,6,child,anyone wanna join my team?,non_grooming,none
24,0,child,my internet is lagging again omg.,non_grooming,none
24,1,adult,my internet is lagging again omg.,non_grooming,none
24,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
24,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
24,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
24,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
24,6,adult,anyone wanna join my team?,non_grooming,none
24,7,adult,anyone wanna join my team?,non_grooming,none
24,8,adult,anyone wanna join my team?,non_grooming,none
24,9,child,my internet is lagging again omg.,non_grooming,none
24,10,child,my internet is lagging again omg.,non_grooming,none
25,0,child,"gotta go, see you tomorrow.",non_grooming,none
25,1,child,anyone wanna join my team?,non_grooming,none
25,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
25,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
25,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
25,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
26,0,child,anyone wanna join my team?,non_grooming,none
26,1,child,"gotta go, see you tomorrow.",non_grooming,none
26,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
26,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
26,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
26,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
26,6,adult,"brb, need to finish homework.",non_grooming,none
26,7,child,my internet is lagging again omg.,non_grooming,none
27,0,adult,"gotta go, see you tomorrow.",non_grooming,none
27,1,adult,nice shot! that was crazy.,non_grooming,none
27,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
27,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
27,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
27,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
27,6,child,"gotta go, see you tomorrow.",non_grooming,none
27,7,adult,anyone wanna join my team?,non_grooming,none
27,8,adult,anyone wanna join my team?,non_grooming,none
27,9,adult,anyone wanna join my team?,non_grooming,none
27,10,child,"brb, need to finish homework.",non_grooming,none
28,0,adult,nice shot! that was crazy.,non_grooming,none
28,1,child,"brb, need to finish homework.",non_grooming,none
28,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
28,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
28,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
28,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
28,6,adult,"brb, need to finish homework.",non_grooming,none
28,7,child,anyone wanna join my team?,non_grooming,none
28,8,child,my internet is lagging again omg.,non_grooming,none
28,9,adult,"brb, need to finish homework.",non_grooming,none
28,10,child,my internet is lagging again omg.,non_grooming,none
29,0,adult,nice shot! that was crazy.,non_grooming,none
29,1,adult,anyone wanna join my team?,non_grooming,none
29,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
29,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
29,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
29,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
30,0,child,nice shot! that was crazy.,non_grooming,none
30,1,child,"gotta go, see you tomorrow.",non_grooming,none
30,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
30,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
30,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
30,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
30,6,child,anyone wanna join my team?,non_grooming,none
30,7,adult,"brb, need to finish homework.",non_grooming,none
30,8,adult,nice shot! that was crazy.,non_grooming,none
31,0,child,nice shot! that was crazy.,non_grooming,none
31,1,child,"brb, need to finish homework.",non_grooming,none
31,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
31,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
31,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
31,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
31,6,adult,"gotta go, see you tomorrow.",non_grooming,none
32,0,child,"brb, need to finish homework.",non_grooming,none
32,1,child,anyone wanna join my team?,non_grooming,none
32,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
32,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
32,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
32,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
32,6,child,anyone wanna join my team?,non_grooming,none
32,7,adult,"brb, need to finish homework.",non_grooming,none
33,0,child,"gotta go, see you tomorrow.",non_grooming,none
33,1,child,"brb, need to finish homework.",non_grooming,none
33,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
33,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
33,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
33,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
33,6,adult,anyone wanna join my team?,non_grooming,none
33,7,child,"gotta go, see you tomorrow.",non_grooming,none
33,8,child,anyone wanna join my team?,non_grooming,none
33,9,adult,my internet is lagging again omg.,non_grooming,none
33,10,child,"gotta go, see you tomorrow.",non_grooming,none
34,0,adult,my internet is lagging again omg.,non_grooming,none
34,1,child,my internet is lagging again omg.,non_grooming,none
34,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
34,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
34,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
34,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
34,6,child,anyone wanna join my team?,non_grooming,none
35,0,child,anyone wanna join my team?,non_grooming,none
35,1,child,anyone wanna join my team?,non_grooming,none
35,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
35,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
35,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
35,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
35,6,child,"gotta go, see you tomorrow.",non_grooming,none
35,7,adult,"brb, need to finish homework.",non_grooming,none
35,8,child,my internet is lagging again omg.,non_grooming,none
35,9,adult,my internet is lagging again omg.,non_grooming,none
35,10,adult,"gotta go, see you tomorrow.",non_grooming,none
35,11,child,"gotta go, see you tomorrow.",non_grooming,none
36,0,adult,anyone wanna join my team?,non_grooming,none
36,1,adult,nice shot! that was crazy.,non_grooming,none
36,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
36,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
36,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
36,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
36,6,child,anyone wanna join my team?,non_grooming,none
36,7,adult,"brb, need to finish homework.",non_grooming,none
36,8,child,my internet is lagging again omg.,non_grooming,none
36,9,adult,nice shot! that was crazy.,non_grooming,none
36,10,child,anyone wanna join my team?,non_grooming,none
37,0,child,"brb, need to finish homework.",non_grooming,none
37,1,adult,"gotta go, see you tomorrow.",non_grooming,none
37,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
37,3,adult,"don’t worry, I always have your back.",grooming,trust_building
37,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
37,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
37,6,adult,"gotta go, see you tomorrow.",non_grooming,none
37,7,child,my internet is lagging again omg.,non_grooming,none
37,8,child,"brb, need to finish homework.",non_grooming,none
37,9,adult,"brb, need to finish homework.",non_grooming,none
37,10,adult,my internet is lagging again omg.,non_grooming,none
37,11,adult,anyone wanna join my team?,non_grooming,none
38,0,child,nice shot! that was crazy.,non_grooming,none
38,1,child,"gotta go, see you tomorrow.",non_grooming,none
38,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
38,3,adult,"don’t worry, I always have your back.",grooming,trust_building
38,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
38,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
38,6,adult,nice shot! that was crazy.,non_grooming,none
38,7,adult,nice shot! that was crazy.,non_grooming,none
39,0,child,anyone wanna join my team?,non_grooming,none
39,1,adult,nice shot! that was crazy.,non_grooming,none
39,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
39,3,adult,"don’t worry, I always have your back.",grooming,trust_building
39,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
39,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
39,6,child,nice shot! that was crazy.,non_grooming,none
39,7,child,my internet is lagging again omg.,non_grooming,none
40,0,adult,anyone wanna join my team?,non_grooming,none
40,1,child,"gotta go, see you tomorrow.",non_grooming,none
40,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
40,3,adult,"don’t worry, I always have your back.",grooming,trust_building
40,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
40,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
41,0,child,"gotta go, see you tomorrow.",non_grooming,none
41,1,child,my internet is lagging again omg.,non_grooming,none
41,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
41,3,adult,"don’t worry, I always have your back.",grooming,trust_building
41,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
41,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
41,6,adult,"gotta go, see you tomorrow.",non_grooming,none
41,7,child,"gotta go, see you tomorrow.",non_grooming,none
41,8,adult,nice shot! that was crazy.,non_grooming,none
41,9,child,"brb, need to finish homework.",non_grooming,none
42,0,child,nice shot! that was crazy.,non_grooming,none
42,1,adult,anyone wanna join my team?,non_grooming,none
42,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
42,3,adult,"don’t worry, I always have your back.",grooming,trust_building
42,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
42,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
42,6,child,nice shot! that was crazy.,non_grooming,none
42,7,child,nice shot! that was crazy.,non_grooming,none
43,0,adult,nice shot! that was crazy.,non_grooming,none
43,1,adult,"gotta go, see you tomorrow.",non_grooming,none
43,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
43,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
43,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
43,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
43,6,adult,"gotta go, see you tomorrow.",non_grooming,none
43,7,adult,my internet is lagging again omg.,non_grooming,none
43,8,child,nice shot! that was crazy.,non_grooming,none
43,9,adult,anyone wanna join my team?,non_grooming,none
43,10,child,nice shot! that was crazy.,non_grooming,none
43,11,child,my internet is lagging again omg.,non_grooming,none
44,0,child,nice shot! that was crazy.,non_grooming,none
44,1,adult,"brb, need to finish homework.",non_grooming,none
44,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
44,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
44,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
44,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
44,6,child,"gotta go, see you tomorrow.",non_grooming,none
44,7,adult,nice shot! that was crazy.,non_grooming,none
45,0,child,anyone wanna join my team?,non_grooming,none
45,1,child,anyone wanna join my team?,non_grooming,none
45,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
45,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
45,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
45,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
45,6,adult,my internet is lagging again omg.,non_grooming,none
45,7,child,"gotta go, see you tomorrow.",non_grooming,none
45,8,child,my internet is lagging again omg.,non_grooming,none
45,9,child,"brb, need to finish homework.",non_grooming,none
46,0,adult,"brb, need to finish homework.",non_grooming,none
46,1,child,nice shot! that was crazy.,non_grooming,none
46,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming
46,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
46,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
46,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
46,6,child,my internet is lagging again omg.,non_grooming,none
46,7,adult,"gotta go, see you tomorrow.",non_grooming,none
47,0,child,"gotta go, see you tomorrow.",non_grooming,none
47,1,adult,anyone wanna join my team?,non_grooming,none
47,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
47,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
47,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
47,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
47,6,adult,nice shot! that was crazy.,non_grooming,none
47,7,child,anyone wanna join my team?,non_grooming,none
47,8,child,"gotta go, see you tomorrow.",non_grooming,none
47,9,child,anyone wanna join my team?,non_grooming,none
47,10,child,nice shot! that was crazy.,non_grooming,none
47,11,adult,"gotta go, see you tomorrow.",non_grooming,none
48,0,child,my internet is lagging again omg.,non_grooming,none
48,1,child,anyone wanna join my team?,non_grooming,none
48,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
48,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
48,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation
48,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
48,6,adult,nice shot! that was crazy.,non_grooming,none
48,7,adult,"gotta go, see you tomorrow.",non_grooming,none
48,8,adult,"brb, need to finish homework.",non_grooming,none
48,9,child,anyone wanna join my team?,non_grooming,none
49,0,child,"brb, need to finish homework.",non_grooming,none
49,1,adult,"gotta go, see you tomorrow.",non_grooming,none
49,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
49,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
49,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
49,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
49,6,adult,my internet is lagging again omg.,non_grooming,none
49,7,child,nice shot! that was crazy.,non_grooming,none
49,8,child,nice shot! that was crazy.,non_grooming,none
49,9,adult,my internet is lagging again omg.,non_grooming,none
49,10,adult,"gotta go, see you tomorrow.",non_grooming,none
49,11,child,nice shot! that was crazy.,non_grooming,none
50,0,child,my internet is lagging again omg.,non_grooming,none
50,1,adult,my internet is lagging again omg.,non_grooming,none
50,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
50,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
